tpep_pickup_date,hour_pickup,count
2022-01-31,19,5560
2022-01-31,20,4149
2022-01-31,21,3672
2022-01-31,23,1753
2022-02-01,0,1158
2022-02-01,1,555
2022-02-01,2,317
2022-02-01,3,226
2022-02-01,4,188
2022-02-01,5,528
2022-02-01,6,1774
2022-02-01,7,3420
2022-02-01,8,4728
2022-02-01,9,4935
2022-02-01,10,4914
2022-02-01,11,4604
2022-02-01,12,4957
2022-02-01,13,5223
2022-02-01,14,5636
2022-02-01,15,6036
2022-02-01,16,5725
2022-02-01,17,6671
2022-02-01,18,7567
2022-02-01,19,6408
2022-02-01,20,4748
2022-02-01,21,4679
2022-02-01,22,4052
2022-02-01,23,2172
2022-02-02,0,1288
2022-02-02,1,602
2022-02-02,2,405
2022-02-02,3,242
2022-02-02,4,205
2022-02-02,5,548
2022-02-02,6,1766
2022-02-02,7,3652
2022-02-02,8,4403
2022-02-02,9,4320
2022-02-02,10,4222
2022-02-02,11,4235
2022-02-02,12,4448
2022-02-02,13,4486
2022-02-02,14,5532
2022-02-02,15,5954
2022-02-02,16,6023
2022-02-02,17,6758
2022-02-02,18,7707
2022-02-02,19,6510
2022-02-02,20,5104
2022-02-02,21,4789
2022-02-02,22,4777
2022-02-02,23,2629
2022-02-03,0,1777
2022-02-03,1,849
2022-02-03,2,413
2022-02-03,3,298
2022-02-03,4,303
2022-02-03,5,631
2022-02-03,6,1901
2022-02-03,7,4064
2022-02-03,8,5280
2022-02-03,9,5062
2022-02-03,10,5089
2022-02-03,11,5500
2022-02-03,12,5722
2022-02-03,13,6022
2022-02-03,14,6145
2022-02-03,15,6318
2022-02-03,16,6007
2022-02-03,17,7185
2022-02-03,18,7768
2022-02-03,19,7108
2022-02-03,20,5423
2022-02-03,21,5137
2022-02-03,22,4816
2022-02-03,23,3308
2022-02-04,0,2382
2022-02-04,1,1463
2022-02-04,2,937
2022-02-04,3,524
2022-02-04,4,463
2022-02-04,5,634
2022-02-04,6,1611
2022-02-04,7,3581
2022-02-04,8,4964
2022-02-04,9,4724
2022-02-04,10,4949
2022-02-04,11,5291
2022-02-04,12,5480
2022-02-04,13,5839
2022-02-04,14,6936
2022-02-04,15,7532
2022-02-04,16,6619
2022-02-04,17,7497
2022-02-04,18,8291
2022-02-04,19,7538
2022-02-04,20,5628
2022-02-04,21,5211
2022-02-04,22,5535
2022-02-04,23,4744
2022-02-05,0,4931
2022-02-05,1,3995
2022-02-05,2,3002
2022-02-05,3,2041
2022-02-05,4,1023
2022-02-05,5,447
2022-02-05,6,891
2022-02-05,7,1297
2022-02-05,8,2115
2022-02-05,9,3460
2022-02-05,10,4529
2022-02-05,11,5507
2022-02-05,12,6381
2022-02-05,13,6938
2022-02-05,14,6998
2022-02-05,15,7192
2022-02-05,16,7581
2022-02-05,17,7767
2022-02-05,18,7980
2022-02-05,19,8154
2022-02-05,20,6244
2022-02-05,21,5772
2022-02-05,22,6181
2022-02-05,23,4983
2022-02-06,0,5283
2022-02-06,1,4180
2022-02-06,2,3251
2022-02-06,3,2293
2022-02-06,4,1198
2022-02-06,5,463
2022-02-06,6,688
2022-02-06,7,1146
2022-02-06,8,1656
2022-02-06,9,2757
2022-02-06,10,3989
2022-02-06,11,4696
2022-02-06,12,5546
2022-02-06,13,5479
2022-02-06,14,5808
2022-02-06,15,5860
2022-02-06,16,5849
2022-02-06,17,5862
2022-02-06,18,5539
2022-02-06,19,4418
2022-02-06,21,3487
2022-02-06,22,2572
2022-02-06,23,1479
2022-02-07,0,1132
2022-02-07,1,475
2022-02-07,2,292
2022-02-07,3,173
2022-02-07,4,216
2022-02-07,5,571
2022-02-07,6,1794
2022-02-07,7,3703
2022-02-07,8,5044
2022-02-07,9,5133
2022-02-07,10,4852
2022-02-07,11,4802
2022-02-07,12,5074
2022-02-07,13,5391
2022-02-07,14,5708
2022-02-07,15,6289
2022-02-07,16,5638
2022-02-07,17,6434
2022-02-07,18,6744
2022-02-07,19,5444
2022-02-07,20,4305
2022-02-07,21,3772
2022-02-07,22,2814
2022-02-07,23,1448
2022-02-08,0,1153
2022-02-08,1,438
2022-02-08,2,271
2022-02-08,3,153
2022-02-08,4,210
2022-02-08,5,517
2022-02-08,6,1912
2022-02-08,7,3955
2022-02-08,8,5317
2022-02-08,9,5141
2022-02-08,10,5088
2022-02-08,11,5184
2022-02-08,12,5515
2022-02-08,13,5596
2022-02-08,14,6520
2022-02-08,15,6874
2022-02-08,16,6741
2022-02-08,17,7494
2022-02-08,18,8344
2022-02-08,19,6863
2022-02-08,20,5524
2022-02-08,21,5382
2022-02-08,22,4688
2022-02-08,23,2604
2022-02-09,0,1501
2022-02-09,1,736
2022-02-09,2,368
2022-02-09,3,238
2022-02-09,4,228
2022-02-09,5,523
2022-02-09,6,1821
2022-02-09,7,4131
2022-02-09,8,5333
2022-02-09,9,5232
2022-02-09,10,5231
2022-02-09,11,5504
2022-02-09,13,5754
2022-02-09,14,6309
2022-02-09,15,6770
